Lead Number;Name;Lead Origin;Lead Source;Converted;TotalVisits;Total Time Spent on Website;Page Views Per Visit;Country;Specialization;What is your current occupation;City;A free copy of Mastering The Interview
623294;Netrananda Rajput;API;Organic Search;1;9;1310;4.5;India;Select;Unemployed;Select;No
623290;Mastram Kumari;Landing Page Submission;Organic Search;1;4;1264;2;India;International Business;Unemployed;Tier II Cities;Yes
623265;Dilsher Singh;Landing Page Submission;Google;1;7;146;3.5;India;Human Resource Management;;Mumbai;No
623251;Ujjval Kumar;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
623223;Surbhi Rai;Landing Page Submission;Direct Traffic;0;2;326;2;India;IT Projects Management;Unemployed;Mumbai;Yes
623213;Anisur Rai;Landing Page Submission;Direct Traffic;0;10;1448;5;India;Business Administration;Unemployed;Select;No
623207;Zonuni Divedi;API;Organic Search;1;3;99;3;India;Media and Advertising;Working Professional;Select;No
623206;Neetesh Rao;Landing Page Submission;Google;0;4;326;4;India;Finance Management;;Mumbai;No
623198;Krishnappa Sonkar;Landing Page Submission;Organic Search;1;7;1087;7;India;E-Business;Unemployed;Other Cities of Maharashtra;No
623197;Bansari Vishwakarma;API;Google;0;2;47;2;India;;;;No
623195;Md Kalam Thakur;Landing Page Submission;Google;0;4;239;4;India;Human Resource Management;;Mumbai;No
623183;Sasi Rai;API;Olark Chat;0;0;0;0;;;;;No
623167;Badam Tiwari;Landing Page Submission;Google;1;5;1455;5;India;"Banking; Investment And Insurance";Working Professional;Other Cities of Maharashtra;Yes
623161;Ajibul Vishwakarma;Landing Page Submission;Google;1;5;987;2.5;India;Human Resource Management;Unemployed;Other Metro Cities;No
623158;Prashant Singh Kumar;Landing Page Submission;Direct Traffic;0;2;334;2;United States;Human Resource Management;Unemployed;Other Metro Cities;No
623138;Bhiyaram Tiwari;Landing Page Submission;Direct Traffic;1;2;528;2;India;International Business;Unemployed;Thane & Outskirts;Yes
623134;Ramalakshmi Gupta;API;Olark Chat;1;0;0;0;;;;;No
623130;Sur Rao;Landing Page Submission;Direct Traffic;0;1;773;1;India;Hospitality Management;;Mumbai;Yes
623118;Gunu Maurrya;Landing Page Submission;Direct Traffic;0;4;190;2;India;Marketing Management;;Mumbai;Yes
623114;Nishith Singh;API;Olark Chat;0;0;0;0;;Marketing Management;Working Professional;Select;No
623101;Manjusha Yadav;API;Olark Chat;0;0;0;0;;;;;No
623095;Diwan Singh Divedi;Landing Page Submission;Google;0;4;34;4;India;"Banking; Investment And Insurance";;Mumbai;No
623093;Bhagyashree Maurya;Landing Page Submission;Direct Traffic;0;2;1236;2;India;Human Resource Management;Unemployed;Mumbai;Yes
623088;Kavin Rai;API;Google;0;2;91;1;India;;;;No
623084;Sanyasi Singh;Landing Page Submission;Google;0;8;310;2.67;India;Supply Chain Management;Unemployed;Thane & Outskirts;Yes
623078;Bharth Vishwakarma;Landing Page Submission;Organic Search;0;4;645;4;India;Healthcare Management;;Other Cities;Yes
623064;Aksh Mishra;API;Olark Chat;0;0;0;0;;;;;No
623056;Subhendu Sonkar;API;Olark Chat;0;0;0;0;;;;;No
623030;Praween Kumar;API;Olark Chat;0;0;0;0;;;;;No
622997;Harika Pratap;Landing Page Submission;Direct Traffic;0;1;49;1;India;"Banking; Investment And Insurance";Unemployed;Mumbai;Yes
622995;Dharmpal Maurrya;Landing Page Submission;Direct Traffic;0;2;79;2;India;"Banking; Investment And Insurance";Student;Mumbai;Yes
622950;Satyapal Srivastav;Landing Page Submission;Direct Traffic;1;8;598;2;United States;Operations Management;Unemployed;Other Cities;Yes
622916;Bhanwarlal Pandey;API;Olark Chat;0;0;0;0;;;;;No
622914;Santosh Yadav Devi;Landing Page Submission;Direct Traffic;0;4;492;4;India;Finance Management;Unemployed;Other Metro Cities;Yes
622875;Krishnadas Rao;Landing Page Submission;Direct Traffic;0;2;160;2;India;Human Resource Management;Unemployed;Other Cities;Yes
622866;Pradyuman Vishwakarma;API;Google;0;2;191;2;India;Select;Unemployed;Select;No
622859;Afsha Pandey;Landing Page Submission;Direct Traffic;1;7;1576;7;India;"Banking; Investment And Insurance";Unemployed;Mumbai;Yes
622851;Abneesh Mishra;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
622840;Nashim Vishwakarma;Landing Page Submission;Direct Traffic;0;1;273;1;India;Finance Management;Unemployed;Mumbai;Yes
622839;Shabu Mishra;Landing Page Submission;Direct Traffic;1;9;351;1.8;India;Marketing Management;Unemployed;Thane & Outskirts;Yes
622838;Mastar Kumar;Landing Page Submission;Direct Traffic;0;2;387;2;India;Operations Management;;Mumbai;Yes
622831;Jamunadas Mishra;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
622822;Trilokesh Yadav;Landing Page Submission;Google;1;3;130;3;India;Retail Management;Working Professional;Other Cities;No
622783;Babal Pratap;Landing Page Submission;Direct Traffic;0;7;255;2.33;India;Marketing Management;Unemployed;Mumbai;Yes
622773;Haina Devi;API;Olark Chat;0;0;0;0;;;;;No
622747;Dhirubhai Pratap;API;Olark Chat;0;0;0;0;;;;;No
622730;Chandra Kumar Singh;Landing Page Submission;Direct Traffic;0;3;1625;3;India;Marketing Management;Unemployed;Other Cities of Maharashtra;Yes
622727;Mostufa Pandit;API;Olark Chat;0;0;0;0;;;;;No
622726;Pratham Maurrya;API;Google;0;2;344;2;India;;;;No
622713;Amanat Pratap;Landing Page Submission;Google;0;5;88;5;India;IT Projects Management;;Mumbai;No
622705;Abneesh Mishra;API;Olark Chat;0;0;0;0;;Select;Unemployed;Thane & Outskirts;No
622701;Tilakram Rajput;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
622698;Sonalal Rao;Landing Page Submission;Google;0;5;406;5;India;Finance Management;Unemployed;Mumbai;No
622684;Alakesh Gupta;API;Olark Chat;0;0;0;0;;Select;Unemployed;Thane & Outskirts;No
622658;Sailesh Seth;Landing Page Submission;Direct Traffic;1;2;1366;2;India;Human Resource Management;Working Professional;Thane & Outskirts;Yes
622655;Vijay Sharma Pandit;Landing Page Submission;Google;0;2;45;2;India;Human Resource Management;Unemployed;Mumbai;No
622653;Ajaysinh Srivastav;API;Google;1;3;886;1.5;India;;;;No
622643;Shivamkumar Gupta;Landing Page Submission;Google;0;1;1403;1;India;Marketing Management;;Mumbai;No
622642;Nathiya Rao;API;Olark Chat;0;0;0;0;;;;;No
622641;Varshu Srivastav;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
622634;Kaml Gupta;API;Olark Chat;0;0;0;0;;;;;No
622631;Dhanraj Seth;Landing Page Submission;Google;1;5;1761;5;India;Operations Management;;Mumbai;No
622630;Gamit Yadav;API;Referral Sites;0;3;536;3;India;Select;Unemployed;Select;No
622617;Deepankar Yadav;Landing Page Submission;Direct Traffic;0;4;234;4;India;Finance Management;Unemployed;Thane & Outskirts;Yes
622608;Mahto Thakur;Landing Page Submission;Google;1;4;1266;4;India;Marketing Management;Unemployed;Thane & Outskirts;No
622595;Adwait Tiwari;API;Google;0;3;1272;3;India;;;;No
622584;Papu Singh;Landing Page Submission;Direct Traffic;0;1;36;1;India;International Business;Unemployed;Mumbai;Yes
622576;Paramar Srivastav;API;Olark Chat;0;0;0;0;;;;;No
622575;Ashoksinh Pandey;Landing Page Submission;Direct Traffic;1;4;116;4;India;Supply Chain Management;Unemployed;Select;No
622566;Mst Maurrya;API;Organic Search;0;18;91;3.6;India;Select;Unemployed;Select;No
622564;Gamit Pandit;Landing Page Submission;Direct Traffic;1;3;1277;3;India;Human Resource Management;;Mumbai;Yes
622545;Rukmini Pandey;Landing Page Submission;Google;0;4;475;4;India;IT Projects Management;Unemployed;Mumbai;No
622543;Ambesh Devi;Landing Page Submission;Organic Search;1;3;1625;3;India;Healthcare Management;Unemployed;Mumbai;Yes
622534;Ramachandra Rai;API;Google;1;2;727;2;India;Select;Unemployed;Select;No
622529;Razzak Sonkar;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
622517;Pandya Mishra;Landing Page Submission;Organic Search;1;6;1073;2;India;Marketing Management;Unemployed;Other Metro Cities;Yes
622513;Vijender Divedi;API;Olark Chat;0;0;0;0;;;;;No
622512;A M Gupta;API;Olark Chat;0;0;0;0;;;;;No
622505;Farukh Pandit;Landing Page Submission;Google;1;3;1399;3;India;Marketing Management;Unemployed;Thane & Outskirts;No
622495;Naku Divedi;Landing Page Submission;Google;1;4;1136;4;India;Human Resource Management;Unemployed;Mumbai;No
622493;Het Divedi;Lead Add Form;Welingak Website;1;0;0;0;;Select;Unemployed;Select;No
622488;Yedukondalu Yadav;API;Google;0;4;420;1;India;;;;No
622478;Mrunal Rajput;Landing Page Submission;Direct Traffic;1;5;1320;5;India;Human Resource Management;Unemployed;Select;No
622472;Shanky Rai;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
622460;Radhesham Thakur;Landing Page Submission;Google;1;6;1069;6;India;Operations Management;Unemployed;Mumbai;No
622433;Gopi Maurrya;API;Olark Chat;0;0;0;0;;;;;No
622423;Dara Tiwari;Landing Page Submission;Google;0;8;221;4;India;Operations Management;Unemployed;Mumbai;No
622413;Kunwar Singh;Landing Page Submission;Direct Traffic;1;2;1520;2;India;Marketing Management;Working Professional;Mumbai;Yes
622410;Sumant Tiwari;Landing Page Submission;Google;0;2;694;1;India;Marketing Management;Unemployed;Mumbai;Yes
622403;Sonil Divedi;Lead Add Form;;0;;44;;;Select;Unemployed;Select;No
622400;Sabirul Divedi;Landing Page Submission;Google;1;3;1137;1.5;India;Operations Management;Unemployed;Other Metro Cities;No
622395;Fathima Maurrya;Landing Page Submission;Google;0;4;74;4;India;IT Projects Management;Unemployed;Thane & Outskirts;No
622385;Sulendar Rao;API;Organic Search;0;1;299;1;India;Select;Unemployed;Select;No
622372;Chandrakant Pratap;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Select;No
622371;Vihar Sonkar;Landing Page Submission;Direct Traffic;1;2;1284;2;United States;Marketing Management;;Other Metro Cities;Yes
622366;Shinde Rai;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
622363;Ramsajivan Yadav;API;Google;1;2;145;1;India;Select;Unemployed;Select;No
622357;Khushi Rajput;Landing Page Submission;Direct Traffic;1;3;1218;1.5;India;Marketing Management;;Mumbai;Yes
622344;Shibin Srivastav;Landing Page Submission;Direct Traffic;1;2;1439;2;India;Healthcare Management;Working Professional;Thane & Outskirts;Yes
622325;Elesh Gupta;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
622322;Rajandra Seth;Landing Page Submission;Direct Traffic;0;3;4;3;India;Human Resource Management;Unemployed;Mumbai;Yes
622305;Pankti Pratap;API;Google;0;3;1054;3;India;Media and Advertising;Unemployed;Mumbai;No
622296;Abneesh Mishra;API;Olark Chat;0;0;0;0;;;;;No
622295;Tusi Seth;API;Google;1;4;734;4;India;Operations Management;Unemployed;Mumbai;No
622288;Rama Rao Kumar;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
622285;Simhachalam Sonkar;API;Google;1;2;957;2;India;Marketing Management;Unemployed;Select;No
622280;Nipu Thakur;Lead Add Form;;1;0;0;0;;Select;Unemployed;Select;No
622276;Harendra Pratap;API;Google;1;5;1224;1.67;India;Select;Unemployed;Select;No
622275;Swasti Sonkar;API;Google;0;4;127;2;India;IT Projects Management;Unemployed;Mumbai;No
622240;Vishant Rao;API;Olark Chat;0;0;0;0;;;;;No
622227;Abneesh Mishra;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
622218;Aslam Singh;API;Olark Chat;0;0;0;0;;;;;No
622214;Parry Pandit;Landing Page Submission;Direct Traffic;1;7;543;3.5;India;Human Resource Management;;Mumbai;Yes
622204;Bantei Maurrya;Landing Page Submission;Direct Traffic;1;6;1081;3;Singapore;Business Administration;Unemployed;Thane & Outskirts;Yes
622189;Bansi Lal Thakur;API;Organic Search;1;5;277;2.5;India;Select;Unemployed;Select;No
622180;Kausik Pandit;Landing Page Submission;Direct Traffic;0;3;227;1.5;India;Rural and Agribusiness;Unemployed;Mumbai;Yes
622177;Gemine Rajput;Landing Page Submission;Direct Traffic;0;1;555;1;India;Retail Management;;Mumbai;Yes
622172;Kowshik Mishra;API;Olark Chat;0;0;0;0;;;;;No
622158;Jasraj Gupta;Landing Page Submission;Direct Traffic;1;3;1563;3;India;Retail Management;;Other Cities of Maharashtra;Yes
622145;Sherkhan Pandey;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Select;No
622143;Narendar Pandit;API;Olark Chat;0;0;0;0;;;;;No
622142;Yadagiri Mishra;API;Olark Chat;0;0;0;0;;;;;No
622118;Pawan Sharma Tiwari;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
622101;Siv Rao;API;Olark Chat;0;0;0;0;;;;;No
622097;Safikul Divedi;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
622093;Maxx Kumari;Landing Page Submission;Google;1;4;1179;2;India;International Business;Unemployed;Thane & Outskirts;No
622090;Pappan Sonkar;Landing Page Submission;Google;0;14;1602;7;India;Finance Management;Unemployed;Mumbai;No
622089;Konika Rai;API;Google;1;3;633;3;India;Select;Unemployed;Select;No
622084;Kimaya Pandit;API;Google;0;2;385;2;India;;;;No
622076;Keshav Kumar Rajput;API;Google;0;2;253;1;India;;;;No
622072;Nirmalya Pandey;Landing Page Submission;Direct Traffic;1;11;746;2.75;India;Retail Management;Working Professional;Mumbai;Yes
622056;Mhommad Rai;Landing Page Submission;Google;0;5;448;2.5;India;Human Resource Management;;Mumbai;No
622052;Kisun Maurrya;Landing Page Submission;Organic Search;1;10;1672;10;India;E-COMMERCE;;Other Cities;Yes
622036;Rathina Sonkar;Landing Page Submission;Direct Traffic;0;5;458;2.5;India;Business Administration;Unemployed;Mumbai;No
621999;Sukamal Mishra;Landing Page Submission;Organic Search;0;6;589;2;India;Media and Advertising;;Other Cities of Maharashtra;Yes
621998;Rajusingh Singh;Landing Page Submission;Organic Search;0;6;208;6;India;"Banking; Investment And Insurance";Unemployed;Thane & Outskirts;Yes
621993;Vibhash Rai;Landing Page Submission;Direct Traffic;0;2;111;2;India;Finance Management;Unemployed;Mumbai;Yes
621978;Vivekkumar Singh;Landing Page Submission;Direct Traffic;1;10;1450;5;India;Human Resource Management;Unemployed;Other Cities of Maharashtra;Yes
621976;Choudhary Maurya;API;Google;1;7;241;7;India;Select;Unemployed;Select;No
621941;Barman Gupta;Landing Page Submission;Direct Traffic;1;2;367;2;India;Operations Management;;Other Cities;No
621922;Pori Rai;API;Olark Chat;0;0;0;0;;;;;No
621899;Kamalsingh Vishwakarma;Landing Page Submission;Direct Traffic;0;4;283;4;India;;;;No
621884;Sibnath Tiwari;Landing Page Submission;Direct Traffic;1;9;40;3;India;Finance Management;Unemployed;Mumbai;Yes
621870;Bidyut Vishwakarma;Landing Page Submission;Google;0;1;81;1;India;Operations Management;;Mumbai;No
621856;Nakshatra Rao;Landing Page Submission;Direct Traffic;1;10;1523;2.5;India;Healthcare Management;Working Professional;Other Cities;Yes
621837;Abhisar Rao;Landing Page Submission;Organic Search;0;21;230;5.25;India;Travel and Tourism;;Mumbai;Yes
621812;Munnakumar Yadav;Landing Page Submission;Google;0;3;127;3;India;E-Business;Unemployed;Mumbai;No
621770;Ipsita Yadav;API;Organic Search;0;5;154;5;India;Select;Unemployed;Select;No
621766;Danaram Vishwakarma;API;Olark Chat;0;0;0;0;;;;;No
621746;Raj Raj Rai;API;Organic Search;0;3;206;1.5;India;Select;Unemployed;Select;No
621743;Kamol Rajput;API;Olark Chat;0;0;0;0;;;;;No
621739;Mathu Sonkar;Landing Page Submission;Organic Search;0;3;402;1.5;India;Human Resource Management;Unemployed;Mumbai;Yes
621735;Fardeen Seth;API;Olark Chat;0;2;8;1;Oman;Operations Management;Unemployed;Other Cities;No
621733;Jagesh Tiwari;Landing Page Submission;Direct Traffic;0;2;201;2;India;Marketing Management;;Other Metro Cities;Yes
621704;Tsering Seth;API;Google;0;7;1514;3.5;India;Select;Unemployed;Select;No
621698;Yashveer Gupta;Landing Page Submission;Direct Traffic;0;1;961;1;India;"Banking; Investment And Insurance";Unemployed;Other Cities of Maharashtra;Yes
621676;Kanish Devi;Landing Page Submission;Direct Traffic;0;2;739;2;India;Finance Management;Unemployed;Mumbai;Yes
621675;Shahrukh Rao;Landing Page Submission;Google;0;7;1061;7;India;"Banking; Investment And Insurance";Unemployed;Other Cities of Maharashtra;No
621671;Sudeer Maurrya;Landing Page Submission;Direct Traffic;0;3;1231;3;India;Finance Management;Other;Mumbai;No
621650;Pramoda Tiwari;Landing Page Submission;Direct Traffic;1;5;696;5;India;Finance Management;;Mumbai;Yes
621641;Kalish Devi;Landing Page Submission;Direct Traffic;0;3;146;3;India;Finance Management;Unemployed;Mumbai;Yes
621638;Dhruvi Seth;Landing Page Submission;Google;0;3;757;3;India;Finance Management;Unemployed;Mumbai;No
621601;Kashvi Pratap;API;Olark Chat;0;2;319;1;India;Finance Management;Unemployed;Mumbai;Yes
621583;Nakka Mishra;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Unemployed;Thane & Outskirts;No
621566;Jaiganesh Divedi;Landing Page Submission;Google;1;6;1424;6;India;E-Business;;Other Cities;No
621560;Edul Yadav;Lead Add Form;Welingak Website;1;0;0;0;;Select;Unemployed;Select;No
621555;Shiya Seth;Landing Page Submission;Direct Traffic;1;5;1665;5;India;Finance Management;Working Professional;Tier II Cities;Yes
621553;Kamlakar Pandey;API;Google;1;2;1020;2;India;Select;Unemployed;Select;No
621535;Ishika Vishwakarma;Landing Page Submission;Google;0;3;405;3;India;Finance Management;Unemployed;Thane & Outskirts;No
621532;Mahasin Pandey;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Unemployed;Other Cities of Maharashtra;No
621514;Ronak Rao;Landing Page Submission;Direct Traffic;1;5;1087;5;India;Marketing Management;Unemployed;Mumbai;Yes
621499;Sirajul Rao;API;Olark Chat;0;0;0;0;;;;;No
621492;Nidhin Maurya;Landing Page Submission;Google;0;4;42;4;India;Supply Chain Management;Unemployed;Other Cities;No
621487;Jenil Rajput;Landing Page Submission;Direct Traffic;1;3;1029;3;India;Marketing Management;Unemployed;Mumbai;No
621477;Zala Sonkar;Lead Add Form;Welingak Website;1;0;0;0;;Select;Unemployed;Select;No
621471;Parvaz Tiwari;API;Olark Chat;1;0;0;0;;Select;Unemployed;Mumbai;No
621464;Mitesha Singh;Landing Page Submission;Google;0;3;105;3;India;Supply Chain Management;Unemployed;Mumbai;No
621452;Harishchandra Tiwari;Landing Page Submission;Direct Traffic;1;8;1282;1.14;India;Marketing Management;Unemployed;Thane & Outskirts;Yes
621451;Ramij Pandit;API;Google;1;2;1387;1;India;Select;Unemployed;Select;No
621437;Tanmoy Maurrya;Landing Page Submission;Direct Traffic;1;13;1659;4.33;India;"Banking; Investment And Insurance";Unemployed;Thane & Outskirts;No
621410;Sailendra Srivastav;Landing Page Submission;Direct Traffic;0;2;80;2;India;;;;No
621397;Lovely Boy Mishra;Landing Page Submission;Direct Traffic;0;3;458;1.5;India;Media and Advertising;Unemployed;Mumbai;Yes
621393;Nithi Pandit;Landing Page Submission;Google;1;12;228;2.4;India;Marketing Management;;Tier II Cities;No
621386;Baishakhi Rajput;Landing Page Submission;Organic Search;1;5;332;2.5;India;Supply Chain Management;Unemployed;Other Metro Cities;No
621381;Sufiyan Devi;Landing Page Submission;Google;1;10;1192;5;India;Business Administration;;Mumbai;No
621368;Uwais Seth;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
621360;Samir Rajput;Landing Page Submission;Direct Traffic;1;3;1562;3;India;Human Resource Management;Unemployed;Mumbai;Yes
621353;Samsher Singh;API;Google;1;3;170;1.5;India;Select;Unemployed;Select;No
621352;Preetham Gupta;Landing Page Submission;Direct Traffic;1;3;950;3;India;Human Resource Management;Unemployed;Mumbai;Yes
621344;Rajandra Rao;API;Direct Traffic;1;3;1270;3;India;Select;Working Professional;Select;No
621337;Atabul Pratap;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
621327;Vikram Singh Singh;Landing Page Submission;Google;1;4;1337;4;India;Travel and Tourism;Unemployed;Mumbai;No
621319;Yuga Thakur;Landing Page Submission;Direct Traffic;1;2;575;2;India;Marketing Management;Unemployed;Mumbai;Yes
621318;Khem Raj Sonkar;Landing Page Submission;Direct Traffic;1;6;1218;3;India;Marketing Management;Unemployed;Other Cities;Yes
621310;Kriti Seth;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
621284;Aanya Gupta;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
621280;Anjana Kumar;Landing Page Submission;Google;0;6;652;3;India;Human Resource Management;Unemployed;Mumbai;No
621277;Chandramauli Thakur;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
621270;Phurpa Rajput;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
621269;Digant Sonkar;Landing Page Submission;Google;1;5;1673;5;India;Human Resource Management;Unemployed;Mumbai;Yes
621264;Sugreem Rajput;API;Olark Chat;0;0;0;0;;;;;No
621262;Jay Kumar Vishwakarma;Landing Page Submission;Direct Traffic;0;10;416;1.43;India;Marketing Management;;Thane & Outskirts;No
621254;Jishu Vishwakarma;Landing Page Submission;Direct Traffic;0;1;400;1;India;Human Resource Management;Student;Select;No
621252;Anjani Tiwari;Landing Page Submission;Direct Traffic;0;3;434;1.5;India;;Working Professional;Other Metro Cities;No
621242;Devdutt Tiwari;Landing Page Submission;Direct Traffic;0;1;2;1;India;;Student;Other Cities;No
621241;Sipra Maurrya;API;Olark Chat;1;0;0;0;;Business Administration;Unemployed;Other Cities of Maharashtra;No
621231;Bhujang Seth;API;Google;0;2;268;2;India;Select;Unemployed;Select;No
621219;Lakhyajit Srivastav;API;Olark Chat;0;0;0;0;;;;;No
621213;Kempanna Rajput;Landing Page Submission;Google;1;2;1122;2;India;Media and Advertising;Unemployed;Other Cities of Maharashtra;No
621209;Prahalad Pandey;Landing Page Submission;Direct Traffic;1;4;1402;2;India;Business Administration;Unemployed;Other Cities;Yes
621205;Pot Ka Vishwakarma;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Select;No
621198;Vashim Gupta;Lead Add Form;Reference;1;0;0;0;;Business Administration;Unemployed;Thane & Outskirts;No
621183;Bhuvanesh Mishra;Landing Page Submission;Google;0;4;1524;2;India;Finance Management;Unemployed;Mumbai;No
621178;Rajveer Vishwakarma;Landing Page Submission;Direct Traffic;0;3;150;3;India;Marketing Management;Unemployed;Mumbai;Yes
621168;Lilesh Yadav;Landing Page Submission;Direct Traffic;0;1;241;1;India;Select;Student;Other Cities of Maharashtra;No
621166;Rimu Sonkar;Landing Page Submission;Google;0;2;111;2;India;Select;Unemployed;Mumbai;No
621130;Sanjay Patel Tiwari;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
621126;Jagendra Singh;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
621121;Balavant Srivastav;Lead Add Form;Reference;1;0;0;0;;Human Resource Management;Unemployed;Thane & Outskirts;No
621116;Aalia Rai;Lead Add Form;Welingak Website;1;0;0;0;;Select;Unemployed;Select;No
621106;Monotosh Sonkar;API;Google;0;2;1284;2;India;Select;Unemployed;Select;No
621103;Daulat Rai;API;Google;0;1;1238;1;India;Select;Unemployed;Select;No
621087;Khukan Sonkar;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Mumbai;No
621078;Aalam Pandey;Lead Add Form;Welingak Website;1;5;467;2.5;;Select;Unemployed;Select;No
621055;Jogaram Gupta;Landing Page Submission;Direct Traffic;0;2;846;2;India;Finance Management;Unemployed;Mumbai;Yes
621044;Tomar Seth;API;Olark Chat;0;0;0;0;;;;;No
621026;Jignasha Vishwakarma;API;Google;1;5;96;2.5;India;Human Resource Management;Working Professional;Select;No
621024;Prabh Gupta;Landing Page Submission;Google;0;6;34;6;India;Media and Advertising;Unemployed;Mumbai;Yes
620996;Kirpal Thakur;API;Google;0;3;208;3;Singapore;Select;Unemployed;Select;No
620989;Maitry Rao;API;Google;1;3;1204;1.5;India;Finance Management;Working Professional;Select;No
620979;Mudavath Rajput;Landing Page Submission;Google;1;7;875;1.75;India;Retail Management;Unemployed;Mumbai;Yes
620919;Manejar Tiwari;Landing Page Submission;Direct Traffic;0;3;387;3;Qatar;Operations Management;Unemployed;Other Cities of Maharashtra;Yes
620918;Brajendra Gupta;Landing Page Submission;Direct Traffic;0;14;1047;1.4;India;Business Administration;Unemployed;Mumbai;Yes
620905;Jitendar Kumar Mishra;API;Google;0;2;115;2;India;Select;Unemployed;Select;No
620900;Mridul Rai;Landing Page Submission;Direct Traffic;0;8;149;8;India;Marketing Management;;Mumbai;Yes
620883;Archi Mishra;API;Olark Chat;0;0;0;0;;;;;No
620874;Muno Yadav;API;Organic Search;0;8;789;8;United Arab Emirates;;;;No
620832;Hansu Srivastav;Landing Page Submission;Direct Traffic;0;2;1478;2;India;International Business;Unemployed;Tier II Cities;Yes
620813;Dhriti Rai;Landing Page Submission;Direct Traffic;0;2;323;2;India;Human Resource Management;Unemployed;Mumbai;Yes
620807;Bhagwan Vishwakarma;Landing Page Submission;Direct Traffic;0;4;1017;4;India;Supply Chain Management;Unemployed;Mumbai;Yes
620794;Shyamu Tiwari;Landing Page Submission;Direct Traffic;0;4;1458;4;India;Finance Management;;Mumbai;No
620792;Yameen Maurrya;Landing Page Submission;Google;1;3;1350;3;India;Marketing Management;;Thane & Outskirts;No
620783;Romil Pandey;Landing Page Submission;Direct Traffic;1;2;857;2;India;Marketing Management;Working Professional;Thane & Outskirts;Yes
620773;Er Rahul Divedi;Landing Page Submission;Direct Traffic;0;1;295;1;India;Human Resource Management;Unemployed;Mumbai;No
620768;Jeetendr Mishra;Landing Page Submission;Direct Traffic;0;2;335;2;India;Operations Management;Unemployed;Mumbai;Yes
620751;Salinder Rao;Landing Page Submission;Direct Traffic;0;8;362;2.67;India;Marketing Management;Other;Mumbai;No
620733;Sarman Mishra;Landing Page Submission;Direct Traffic;0;3;69;3;India;Finance Management;;Mumbai;Yes
620731;Kunga Singh;Landing Page Submission;Direct Traffic;1;2;9;2;India;Human Resource Management;Unemployed;Mumbai;Yes
620705;Somveer Seth;Landing Page Submission;Google;1;7;964;3.5;India;International Business;Unemployed;Thane & Outskirts;No
620704;Deepabali Pandey;Landing Page Submission;Google;1;5;1205;5;India;Human Resource Management;Unemployed;Mumbai;No
620699;Sawan Rajput;Landing Page Submission;Google;0;1;52;1;India;Marketing Management;;Mumbai;No
620695;Dhruv Thakur;Landing Page Submission;Direct Traffic;0;3;167;3;India;Marketing Management;Unemployed;Other Metro Cities;Yes
620677;Sukur Yadav;API;Google;1;3;1390;3;India;Select;Unemployed;Select;No
620667;Gautom Rao;Landing Page Submission;Direct Traffic;0;1;238;1;India;Operations Management;;Other Metro Cities;Yes
620641;Bipen Mishra;Landing Page Submission;Direct Traffic;0;1;1372;1;India;;Student;Thane & Outskirts;No
620639;Buddhadeb Gupta;Landing Page Submission;Direct Traffic;0;1;518;1;India;;Student;Other Metro Cities;No
620635;Mushahid Yadav;Landing Page Submission;Direct Traffic;0;1;328;1;India;Select;Student;Other Cities of Maharashtra;No
620633;Cutty Pratap;Landing Page Submission;Direct Traffic;0;1;496;1;India;;Student;Mumbai;No
620632;Bidhu Singh;Landing Page Submission;Direct Traffic;0;1;97;1;India;;Student;Mumbai;No
620629;Sukhan Rajput;Landing Page Submission;Direct Traffic;0;1;120;1;India;;Student;Other Cities of Maharashtra;No
620628;Premaram Rao;Landing Page Submission;Direct Traffic;0;1;526;1;India;;Student;Other Cities of Maharashtra;No
620627;Rakshanda Srivastav;Landing Page Submission;Direct Traffic;0;1;233;1;India;Select;Student;Mumbai;No
